"Protein.IDs"	"LFQ.intensity.KES1_well1"	"LFQ.intensity.KES2_well5"	"LFQ.intensity.KES3_well9"	"LFQ.intensity.PBS1_well2"	"LFQ.intensity.PBS2_well3"	"LFQ.intensity.PBS3_well4"
"449"	"SZEY-63A_GL0012187;MH0403_GL0074873;MH0140_GL0027767;V1.UC61-0_GL0072590;O2.UC30-2_GL0081676;MH0384_GL0009334;MH0322_GL0095243;DOM010_GL0073731;MH0088_GL0055698"	1571500	2783700	1592600	0	560080	0
"450"	"DOM016_GL0068318"	108850000	192320000	82504000	73385000	81820000	86469000
"451"	"DOM016_GL0077606;N085A_GL0049130;MH0198_GL0166018;MH0179_GL0038977;V1.UC26-4_GL0145709;MH0093_GL0077260;MH0011_GL0049131;O2.UC24-2_GL0112143;T2D-113A_GL0047197;T2D-133A_GL0121986;MH0381_GL0130514;DLM020_GL0062394"	26071000	30653000	9999000	12598000	12976000	11023000
"452"	"DOM022_GL0004614;MH0144_GL0072599;764588959-stool1_revised_scaffold19419_6_gene173960"	10647000	14099000	7841600	10308000	9428200	9845300
"453"	"DOM022_GL0007738;MH0415_GL0024535;MH0384_GL0040364;MH0095_GL0020570;V1.CD27-0_GL0119477;MH0140_GL0094621;158499257-stool2_revised_scaffold61952_1_gene135266;158499257-stool1_revised_C1402011_1_gene200391;158256496-stool1_revised_C942035_1_gene159647;MH0083_GL0092871;T2D-8A_GL0103666;MH0050_GL0006036;MH0030_GL0035600;764062976-stool1_revised_C1183549_1_gene135622;159369152-stool1_revised_C207181_1_gene30381;O2.UC57-0_GL0129021;MH0038_GL0053969;159247771-stool1_revised_C705988_1_gene90548;V1.UC40-0_GL0114471;V1.CD3-3-PN_GL0073348;763597684-stool1_revised_scaffold72133_1_gene2208;158458797-stool1_revised_C1343878_1_gene67102;O2.UC28-1_GL0214410;MH0309_GL0116999;158499257-stool1_revised_C1415087_1_gene49822;158458797-stool1_revised_scaffold35084_1_gene93727;MH0361_GL0043309;160400887-stool1_revised_scaffold35521_1_gene175098"	3466300	6064500	2469700	2268400	2977000	2212400
"454"	"DOM022_GL0028751;T2D-91A_GL0023116;764062976-stool1_revised_C1238557_1_gene89960"	10876000	4897100	1317500	1100900	1079700	1214300
"455"	"DOM022_GL0035662;MH0057_GL0033925;MH0006_GL0210171;MH0430_GL0003451"	4352500	7885200	0	0	0	1910300
"456"	"MH0264_GL0057612;MH0260_GL0140233;DOM022_GL0042651;V1.UC2-4_GL0103666;MH0132_GL0117685;V1.UC57-0_GL0180294;MH0386_GL0050428;764588959-stool1_revised_scaffold28581_1_gene163761;MH0189_GL0175675;MH0328_GL0113443;V1.FI11_GL0054666;MH0318_GL0206774"	275010000	307830000	140520000	133970000	121560000	146660000
"457"	"DOM023_GL0034788;764588959-stool1_revised_C714886_1_gene158843;DLM011_GL0040113;MH0392_GL0125884;764325968-stool2_revised_scaffold21525_1_gene120958;N001A_GL0005277;O2.UC18-0_GL0026939;MH0173_GL0043284;V1.FI18_GL0003638;MH0276_GL0118357;MH0363_GL0090558;MH0275_GL0064008"	142120000	28304000	68500000	172520000	132330000	19895000
"458"	"DOM024_GL0017285;V1.CD15-3_GL0138145;MH0267_GL0218011;MH0410_GL0099596"	97288000	27400000	0	0	0	48209000
"459"	"MH0012_GL0018442;ED11A_GL0001057;T2D-22A_GL0083085;V1.CD3-3-PN_GL0044334;MH0309_GL0089599;MH0101_GL0067021;MH0286_GL0143749;MH0050_GL0032595;MH0016_GL0004724;MH0189_GL0082984"	41666000	55155000	18090000	14576000	14960000	17281000
"460"	"ED11A_GL0014375;O2.UC14-2_GL0057138"	13787000	13090000	8435600	5559400	7202900	6689900
"461"	"ED11A_GL0043483;MH0108_GL0103845;159005010-stool1_revised_C458959_1_gene61676;N051A_GL0047582;MH0266_GL0140974;MH0106_GL0003436;MH0292_GL0117184;MH0002_GL0065469;MH0238_GL0083825;NOF013_GL0030467;159814214-stool2_revised_scaffold11779_2_gene66878;MH0101_GL0089947;MH0068_GL0032298;MH0198_GL0117094;638754422-stool1_revised_scaffold18947_1_gene72350;N088A_GL0084023;T2D-133A_GL0084186;ED13A_GL0058985;O2.UC19-0_GL0049650;V1.CD15-3_GL0103399;DLM014_GL0099422;MH0309_GL0150748"	30728000	38407000	47231000	45141000	48060000	51518000
"462"	"ED12A_GL0030289;MH0274_GL0105451;HT25A_GL0066847;MH0059_GL0078814;763678604-stool2_revised_C1063826_1_gene86342;O2.UC18-2_GL0064511;MH0447_GL0249991;MH0397_GL0057310;MH0428_GL0081103;O2.UC7-0_GL0023769;V1.CD3-0-PN_GL0053765;V1.CD45-0_GL0084004;HT14A_GL0033514;V1.UC31-4_GL0091071;MH0157_GL0008732;V1.UC54-0_GL0192785;O2.UC52-0_GL0024430;MH0447_GL0142574;T2D-31A_GL0043494;V1.UC50-1_GL0176170;T2D-26A_GL0010727;MH0221_GL0062548;V1.UC17-2_GL0040325;T2D-140A_GL0004367;N020A_GL0060138;MH0346_GL0169738;N020A_GL0086602;O2.UC58-2_GL0073554;O2.UC30-1_GL0042740;O2.UC53-2_GL0070769;MH0451_GL0236761;O2.UC24-2_GL0028222;HT14A_GL0093339;T2D-62A_GL0031473;MH0302_GL0067974;MH0385_GL0131826;V1.CD46-0_GL0073944;O2.UC52-0_GL0058041;MH0367_GL0127564;V1.UC25-1_GL0020023;T2D-91A_GL0011235;MH0382_GL0083897;763860675-stool1_revised_scaffold51934_1_gene111598;765074482-stool2_revised_scaffold2603_1_gene1419;V1.UC17-2_GL0075969;SZEY-81A_GL0077719;MH0445_GL0051120;V1.UC55-0_GL0101901;MH0238_GL0143819;MH0338_GL0185554;DLM019_GL0032059;V1.UC35-4_GL0162989;MH0065_GL0046671;V1.CD1-0-PT_GL0066842;MH0355_GL0183476;MH0396_GL0028298;MH0262_GL0049673;MH0418_GL0076473;MH0354_GL0128692;V1.UC13-0_GL0052127;MH0403_GL0086348;MH0347_GL0090288;V1.FI10_GL0092820;V1.CD54-0_GL0065781;O2.UC7-1_GL0125148;MH0188_GL0056611;765074482-stool2_revised_scaffold34392_1_gene69379;553973.CLOHYLEM_06633;SZEY-10A_GL0081744;MH0129_GL0058167;V1.UC16-0_GL0006765;V1.UC39-0_GL0033951;MH0189_GL0163876;V1.FI17_GL0096625;O2.UC7-1_GL0010865;MH0086_GL0009754;O2.UC32-0_GL0101136;MH0244_GL0028369;O2.UC48-0_GL0050250;MH0450_GL0040342;MH0451_GL0092679;MH0398_GL0121543;MH0176_GL0038868;V1.CD40-0_GL0032640;V1.CD35-0_GL0024714;O2.UC7-1_GL0085615;T2D-59A_GL0002815;O2.UC8-1_GL0114681;O2.UC44-2_GL0147138;V1.FI14_GL0014636;MH0122_GL0065533;V1.FI04_GL0067615;V1.FI25_GL0114801;O2.UC5-0_GL0041441;O2.UC32-1_GL0129406;MH0233_GL0054063;V1.CD20-4_GL0093373;O2.UC1-2_GL0124929;NOF005_GL0001943;T2D-31A_GL0114116;O2.CD2-0_GL0078689;MH0402_GL0006771;V1.FI14_GL0163703;MH0403_GL0136885;MH0303_GL0085997;MH0250_GL0275056;MH0250_GL0077510;MH0126_GL0022777;MH0012_GL0163030;MH0009_GL0030563;O2.UC47-0_GL0047529;MH0385_GL0182502;MH0368_GL0029036;MH0348_GL0113976;MH0318_GL0219612;MH0262_GL0099161;MH0247_GL0001969;MH0189_GL0073155;MH0126_GL0057774;MH0053_GL0061270;MH0050_GL0015741;MH0047_GL0035652;MH0012_GL0096439;MH0006_GL0089778;V1.CD46-0_GL0142380;MH0336_GL0086337;MH0303_GL0169586;MH0211_GL0195024;MH0275_GL0112531;MH0262_GL0025725;MH0217_GL0024345;MH0104_GL0107472;MH0412_GL0214909;MH0358_GL0107522;MH0262_GL0072423;MH0206_GL0072193;V1.CD12-0_GL0031856;MH0250_GL0186645;MH0119_GL0106651;MH0012_GL0138745;MH0009_GL0050737;MH0006_GL0052171;MH0396_GL0140866;MH0131_GL0013228;MH0009_GL0050744;MH0433_GL0131445;MH0412_GL0043576;V1.FI14_GL0215040;V1.CD7-4_GL0047451;MH0126_GL0020953;O2.UC6-1_GL0081840;V1.CD54-0_GL0069054;N056A_GL0058952;MH0308_GL0025987;MH0149_GL0026544;MH0012_GL0134046;V1.FI14_GL0144403;MH0340_GL0186243;MH0250_GL0248549;MH0022_GL0016875;763678604-stool1_revised_scaffold58147_1_gene176288;MH0229_GL0088248;MH0176_GL0077905;MH0415_GL0089048;MH0250_GL0072402;MH0252_GL0086047;MH0257_GL0128193;V1.FI14_GL0172264;O2.UC6-1_GL0158716;SZEY-68A_GL0032173"	87469000	48686000	22288000	14483000	19621000	15536000
"463"	"ED12A_GL0033682"	5756500	5769600	0	0	0	0
"464"	"MH0203_GL0196487;ED12A_GL0053106;V1.CD1-3-PN_GL0005463;MH0287_GL0144242;T2D-123A_GL0009158;V1.CD31-0_GL0138512;DLM013_GL0059248;V1.UC58-4_GL0057400;V1.FI37_GL0109526"	64221000	44107000	7308600	6991800	6880100	6678200
"465"	"V1.CD44-4_GL0032733;MH0445_GL0126708;V1.FI14_GL0156937;O2.UC6-1_GL0056373;ED12A_GL0079735"	2789100	2239700	0	0	0	0
"466"	"ED13A_GL0021636"	12938000	11967000	3478100	3276700	3638500	3645100
"467"	"MH0087_GL0029157;ED13A_GL0065402"	0	0	2534600	1910400	3818800	0
"468"	"O2.UC24-2_GL0026503;O2.UC11-1_GL0087080;MH0131_GL0055429;ED14A_GL0049981;DLF009_GL0024073;BGI-33A_GL0009901;O2.UC18-1_GL0179343"	10002000	6441800	0	0	826920	641840
"469"	"MH0425_GL0011204;ED14A_GL0062492;N062A_GL0005097"	1718500	1831500	1935500	1496400	0	0
"470"	"MH0373_GL0061967;MH0322_GL0037194;ED16A_GL0124706"	3426700	0	1391800	2102300	1382100	1578700
"471"	"V1.CD46-0_GL0011377;MH0357_GL0095195;MH0008_GL0023198;ED20A_GL0000301"	5872600	4119900	2012700	1842700	0	2403800
"472"	"ED20A_GL0084924;MH0122_GL0052895;MH0429_GL0128199;MH0200_GL0002160;MH0197_GL0069312"	27880000	33246000	10828000	9644900	12723000	11977000
"473"	"ED9A_GL0010568;N001A_GL0004273;DOF010_GL0038096;MH0355_GL0205121"	3314700	0	14438000	13831000	14840000	12623000
"474"	"ED9A_GL0061435"	16121000	16743000	8573900	0	0	0
"475"	"ED9A_GL0065721"	3476800	2997200	3551800	2446500	3000700	3114200
"476"	"ED9A_GL0086539;MH0145_GL0136478;MH0067_GL0007066;MH0441_GL0178934;T2D-33A_GL0138504;T2D-107A_GL0087528;MH0124_GL0053159;O2.UC7-1_GL0054003;763840445-stool2_revised_scaffold35105_1_gene166404;MH0457_GL0079196;658655.HMPREF0988_01193;O2.CD2-0-PT_GL0052289;O2.UC9-0_GL0138881;O2.UC15-0_GL0082213;N051A_GL0053385;V1.CD20-4_GL0090300;717962.CC1_27180;V1.UC12-4_GL0089385;O2.CD3-0-PT_GL0070678;O2.UC40-1_GL0210330;V1.CD32-0_GL0156602;NLF002_GL0004091;159632143-stool1_revised_scaffold44659_1_gene66628;MH0419_GL0129347;MH0143_GL0112929;V1.FI17_GL0222122;MH0203_GL0169780;MH0433_GL0015685;V1.CD55-0_GL0159358;V1.FI05_GL0024712"	14497000	20595000	24286000	17189000	17425000	17397000
"477"	"V1.UC54-0_GL0130452;HT14A_GL0010772;159753524-stool1_revised_scaffold16070_1_gene48354;V1.UC26-0_GL0067054;T2D-51A_GL0060556"	3755100	3361400	10518000	11959000	10829000	12018000
"478"	"T2D-176A_GL0028277;HT14A_GL0024086;V1.CD37-4_GL0064937"	12388000	13238000	28554000	27487000	25879000	31819000
"479"	"HT14A_GL0085266;NOM002_GL0035838;159814214-stool1_revised_C537953_1_gene59572;MH0229_GL0090301;HT14A_GL0016280;HT14A_GL0100485;O2.UC48-0_GL0211139;MH0382_GL0165906;MH0382_GL0011451;MH0203_GL0203824;MH0343_GL0041563;160704339-stool1_revised_scaffold2769_1_gene7814;MH0250_GL0123499;V1.FI14_GL0256457;MH0318_GL0121310;V1.FI04_GL0025507;MH0377_GL0029884;MH0257_GL0123375;V1.FI17_GL0230158;MH0101_GL0039547;763860675-stool1_revised_scaffold58754_1_gene173628;DOM012_GL0014123;V1.CD31-0_GL0083074;MH0446_GL0110832;MH0376_GL0031114;764487809-stool1_revised_C931097_1_gene192002;V1.FI04_GL0108132;V1.FI21_GL0035543;MH0446_GL0057198;O2.UC15-0_GL0015254;764062976-stool1_revised_C1270189_1_gene30877;MH0109_GL0030654"	0	0	15098000	0	11085000	9280200
"480"	"HT14A_GL0136380"	0	0	8462100	7437300	9175100	6931200
"481"	"O2.UC36-0_GL0053739;O2.UC26-0_GL0062480;HT25A_GL0003193;O2.UC2-2_GL0142262;O2.UC26-0_GL0016275"	18679000	10706000	22819000	20311000	19433000	23039000
"482"	"HT25A_GL0006284;V1.CD21-4_GL0073000;MH0372_GL0007488;MH0221_GL0015345"	0	4306200	51172000	44795000	54982000	58853000
"483"	"HT25A_GL0008528"	0	0	3927000	3906900	3656700	3594000
"484"	"HT25A_GL0024053"	1086800	1234600	5922400	1346600	864670	1107900
"485"	"HT25A_GL0025975"	0	0	5121900	14468000	1110700	16321000
"486"	"HT25A_GL0029364"	0	0	16398000	15900000	17646000	19584000
"487"	"HT25A_GL0038680;V1.FI34_GL0030914;MH0011_GL0053141;MH0373_GL0137493;511680.BUTYVIB_01272;O2.UC56-2_GL0130864;MH0144_GL0144226;MH0211_GL0051270;O2.UC44-2_GL0229477;585501.HMPREF6123_0147;MH0357_GL0063376"	6701700	11147000	11794000	21272000	36845000	16193000
"488"	"HT25A_GL0104354"	7589400	7276600	20044000	17781000	19187000	23245000
"489"	"HT25A_GL0107614"	0	0	11626000	8940500	9019600	8381200
"490"	"MH0001_GL0000057;MH0384_GL0174288"	0	0	0	0	0	0
"491"	"MH0012_GL0005249;MH0001_GL0002366"	90776000	81104000	25362000	28533000	28545000	23781000
"492"	"MH0001_GL0005889;V1.CD30-0_GL0064224;MH0336_GL0070174;V1.FI17_GL0165144"	15562000	6322700	30021000	36563000	43666000	39060000
"493"	"MH0002_GL0000435;O2.UC40-2_GL0143435"	35383000	24021000	0	11226000	9658700	13555000
"494"	"MH0002_GL0001636;T2D-22A_GL0119999;MH0396_GL0044796;N038A_GL0053507;V1.UC64-0_GL0075859;MH0196_GL0086945;MH0142_GL0045852"	114430000	114100000	75951000	69928000	67684000	77737000
"495"	"MH0002_GL0001930;O2.UC9-1_GL0080148"	642510000	406750000	68891000	69805000	79198000	81832000
"496"	"MH0002_GL0001931"	18199000	7984500	1911800	0	0	0
"497"	"MH0002_GL0002343;T2D-17A_GL0068402"	25852000	28714000	36278000	32254000	34521000	34906000
"498"	"MH0002_GL0002351;MH0454_GL0119520;MH0006_GL0007847;MH0192_GL0036240"	52546000	65296000	51137000	48679000	57522000	57788000
"499"	"MH0002_GL0003281"	4352800	4397200	4099400	3160100	5181300	2996200
"500"	"MH0002_GL0003865;T2D-22A_GL0019569;MH0250_GL0272176;MH0233_GL0044079;MH0054_GL0047612;160765029-stool1_revised_scaffold20917_1_gene116909;159005010-stool1_revised_scaffold10696_1_gene17480;764447348-stool2_revised_scaffold3583_1_gene39265;V1.UC26-0_GL0041284;V1.FI13_GL0032036;MH0066_GL0028893;T2D-45A_GL0010656;MH0052_GL0020289;MH0443_GL0089218;159632143-stool1_revised_scaffold1399_1_gene75372;158742018-stool1_revised_scaffold9610_4_gene116019;MH0247_GL0037738;MH0377_GL0087520;160400887-stool1_revised_scaffold31032_2_gene36319;T2D-11A_GL0079201;N038A_GL0041099;MH0243_GL0012566;V1.FI28_GL0026709;V1.FI07_GL0011682;MH0192_GL0124931;V1.FI04_GL0161092;MH0431_GL0123348;159551223-stool1_revised_scaffold41562_2_gene58244;MH0422_GL0202828;MH0390_GL0161893;DOM012_GL0015138;MH0229_GL0122155;V1.FI32_GL0041638;MH0266_GL0000256;V1.CD31-0_GL0122847;T2D-54A_GL0138199;N038A_GL0093174;MH0336_GL0008471;N066A_GL0093779;MH0252_GL0164557;MH0457_GL0241149;MH0246_GL0019015;764487809-stool1_revised_scaffold44555_2_gene69782;O2.UC48-1_GL0115318;809635352-stool1_revised_scaffold20428_1_gene117225;O2.UC48-1_GL0121325;T2D-51A_GL0039939;MH0266_GL0048403"	359530000	268110000	203290000	215170000	233660000	258840000
"501"	"MH0002_GL0003874;MH0192_GL0069596;N038A_GL0012684;T2D-22A_GL0135452;MH0443_GL0063516;MH0280_GL0100487;MH0266_GL0068914;MH0233_GL0044087;MH0307_GL0018753;V1.CD25-4_GL0042203;MH0243_GL0114701;T2D-11A_GL0104886;O2.UC48-1_GL0089400;MH0244_GL0105460;MH0083_GL0058519;MH0066_GL0038660;159551223-stool1_revised_scaffold21452_1_gene37726;158742018-stool1_revised_scaffold23845_1_gene126942;V1.UC13-3_GL0045717"	66587000	93497000	64332000	61813000	66383000	71288000
"502"	"MH0044_GL0021334;MH0003_GL0005194;MH0002_GL0003977;MH0433_GL0190449;O2.UC24-2_GL0018653"	2328700	2629000	4922600	5877600	3506800	4931100
"503"	"MH0002_GL0006618;O2.UC41-2_GL0067422"	1819900000	2268200000	1119900000	1144600000	1114300000	1259800000
"504"	"MH0002_GL0006627;MH0006_GL0131476;T2D-22A_GL0061496"	217690000	244970000	138350000	120710000	117270000	180550000
"505"	"T2D-135A_GL0089528;MH0002_GL0007103;MH0007_GL0030338;SZEY-48A_GL0075254;V1.CD38-0_GL0081687;T2D-48A_GL0022397;T2D-135A_GL0111818;T2D-133A_GL0035284;NOF010_GL0005659;N087A_GL0008864;MH0440_GL0065726;MH0402_GL0166947;MH0381_GL0145749;MH0314_GL0060136;MH0267_GL0114007;MH0203_GL0210018;MH0113_GL0048101;MH0109_GL0049133;MH0039_GL0012789;MH0037_GL0040027;MH0004_GL0013499;DOM022_GL0038698;765094712-stool1_revised_scaffold5351_1_gene15387;MH0111_GL0063733;V1.CD25-4_GL0059185;T2D-6A_GL0211154;T2D-109A_GL0046198;T2D-135A_GL0009031;DOM005_GL0008030;T2D-47A_GL0087087;O2.CD1-0-PT_GL0087582;N085A_GL0088041;MH0239_GL0057242;MH0120_GL0064231;158499257-stool1_revised_scaffold23886_1_gene171404;158458797-stool1_revised_scaffold30379_1_gene70977;O2.UC28-1_GL0059385;O2.UC30-2_GL0100371;MH0451_GL0205700;V1.FI22_GL0147411;158458797-stool1_revised_C1247294_1_gene82276;158499257-stool2_revised_scaffold69717_1_gene54154;O2.UC44-2_GL0286712;MH0377_GL0006017"	2715600	4776000	3794900	4146200	4015800	3498200
"506"	"MH0002_GL0007633"	32945000	55052000	34764000	38773000	40092000	41864000
"507"	"MH0002_GL0007763;MH0247_GL0012085;160765029-stool1_revised_C1108629_1_gene20447;MH0200_GL0027526"	287650000	296390000	218930000	211010000	225670000	251660000
"508"	"MH0002_GL0007982;V1.FI26_GL0112143"	4343900	4050900	2939000	4014700	3270700	3437000
"509"	"MH0002_GL0008444;MH0245_GL0155799"	134370000	138350000	158270000	155260000	157990000	179650000
"510"	"MH0002_GL0009928;T2D-22A_GL0082401"	155830000	100020000	0	0	0	0
"511"	"MH0002_GL0010420;763435843-stool1_revised_scaffold1961_1_gene20711;MH0008_GL0025627"	11746000	13435000	16130000	20118000	17251000	19207000
"512"	"MH0002_GL0011996"	12009000	21930000	5048800	5129400	5037200	7561000
"513"	"MH0002_GL0012962"	193750000	251300000	281490000	278780000	273390000	301110000
"514"	"MH0002_GL0012963"	276520000	351880000	398010000	372040000	400350000	388470000
"515"	"MH0002_GL0012965;MH0363_GL0001557;MH0059_GL0044933;N066A_GL0116145;O2.UC41-0_GL0124135;T2D-6A_GL0198890;MH0334_GL0004057;N038A_GL0110366;MH0443_GL0197613;MH0403_GL0107838;MH0244_GL0127255;MH0150_GL0109259;V1.CD3-3-PN_GL0019043"	56982000	71721000	43369000	41997000	45813000	55516000
"516"	"MH0002_GL0012969;763496533-stool1_revised_scaffold46794_1_gene49757;MH0436_GL0033872;MH0359_GL0019188;MH0008_GL0030342;MH0196_GL0204552;O2.UC31-1_GL0166304;N066A_GL0053152;N038A_GL0113168;MH0243_GL0004618;T2D-22A_GL0051235;MH0006_GL0177681;160765029-stool1_revised_scaffold21372_2_gene50455;MH0066_GL0069482"	13272000	11076000	13533000	11590000	14580000	15279000
"517"	"MH0002_GL0012972;763496533-stool2_revised_scaffold45592_1_gene82295;MH0247_GL0141987;MH0197_GL0189508;MH0205_GL0051260;MH0101_GL0050310;O2.CD3-0-PT_GL0085771;V1.FI04_GL0095757;V1.CD3-3-PN_GL0021629;V1.CD15-3_GL0156529;N040A_GL0016303;MH0309_GL0152469;MH0274_GL0025128;MH0239_GL0111487;MH0206_GL0014456;MH0195_GL0029637;MH0101_GL0086948;MH0012_GL0034707;MH0003_GL0034680;765560005-stool1_revised_scaffold22847_1_gene1878;160765029-stool1_revised_scaffold21601_1_gene56812;159247771-stool1_revised_scaffold16869_1_gene51060"	190450000	226320000	63088000	60020000	65959000	69237000
"518"	"MH0002_GL0013238;V1.UC57-0_GL0175016;DOM022_GL0049007;553171.HMPREF0648_0266;160502038-stool1_revised_scaffold52253_2_gene38917"	12247000	17947000	3393500	5457400	6403000	5571900
"519"	"MH0002_GL0013621"	58937000	65517000	41873000	40792000	38658000	42709000
"520"	"MH0002_GL0015130"	45989000	55916000	39345000	39997000	40167000	41124000
"521"	"MH0002_GL0018165;T2D-22A_GL0127910;O2.UC22-1_GL0071753;MH0280_GL0135283;MH0340_GL0038685;159551223-stool1_revised_scaffold36551_1_gene18122;159571453-stool2_revised_scaffold18601_1_gene80494;MH0008_GL0014631;O2.UC13-1_GL0245691;MH0417_GL0086122;MH0142_GL0038488;NOF012_GL0006553;160765029-stool1_revised_C1114135_1_gene145068;MH0365_GL0076433;N066A_GL0045282;MH0243_GL0092025;763901136-stool2_revised_scaffold10667_1_gene114993;T2D-133A_GL0065115;159551223-stool1_revised_scaffold48115_1_gene4923"	18169000	24694000	22096000	21402000	22830000	23041000
"522"	"MH0002_GL0018506;T2D-198A_GL0031352;MH0008_GL0016679;V1.UC26-4_GL0070150;763496533-stool2_revised_C1033687_1_gene57076"	3845800000	3997900000	2891900000	3048200000	3120900000	3607300000
"523"	"MH0002_GL0018589"	28759000	26563000	22668000	19377000	17901000	19567000
"524"	"MH0002_GL0018982;MH0189_GL0028636;MH0050_GL0001199"	259770000	265220000	78146000	124460000	96666000	114590000
"525"	"O2.UC19-2_GL0085094;MH0002_GL0019453;MH0131_GL0038517;V1.UC17-2_GL0079599"	20829000	12875000	0	0	1981300	1789300
"526"	"MH0002_GL0019980;MH0106_GL0019324;MH0243_GL0096714;NOM017_GL0016277;V1.UC63-0_GL0048835"	323390000	411280000	409300000	420410000	429830000	460470000
"527"	"MH0002_GL0020045;MH0006_GL0152277;N066A_GL0113443;T2D-11A_GL0039685;MH0136_GL0053734;V1.UC10-2_GL0007733"	14989000	17819000	16586000	15588000	16784000	20082000
"528"	"MH0002_GL0021086"	9064300	19281000	6266200	8273700	8128800	8667500
"529"	"MH0002_GL0022747;O2.UC12-1_GL0058191;MH0284_GL0116366;T2D-187A_GL0096497;MH0389_GL0091261;MH0049_GL0043696;V1.UC52-0_GL0165898;764588959-stool1_revised_C795399_1_gene93141;MH0062_GL0026570;O2.UC48-1_GL0045263;MH0035_GL0038015;MH0345_GL0018441;V1.FI10_GL0006312"	5236800	3233500	45841000	35217000	40182000	39276000
"530"	"MH0002_GL0023812;764487809-stool2_revised_scaffold19280_1_gene140804;MH0043_GL0069581;638754422-stool2_revised_C519355_1_gene92759"	25136000	12990000	0	0	0	5677500
"531"	"MH0002_GL0025520"	11199000	11124000	10425000	7991900	7905400	9871500
"532"	"MH0002_GL0025988;V1.CD54-0_GL0101540;MH0443_GL0162912;T2D-11A_GL0085387;MH0422_GL0176786;T2D-26A_GL0096068;O2.UC51-2_GL0158623;MH0243_GL0057406;O2.UC48-1_GL0052844;MH0169_GL0022045;MH0266_GL0037906"	155540000	209330000	148260000	151300000	162670000	171210000
"533"	"MH0002_GL0028993;T2D-133A_GL0070709"	13076000	20142000	4910900	4391100	4619800	4276200
"534"	"MH0002_GL0029145;MH0419_GL0053169;T2D-22A_GL0018808"	28056000	37641000	41150000	43187000	43861000	46821000
"535"	"MH0002_GL0029687;MH0233_GL0044035;T2D-22A_GL0051096;MH0006_GL0052213;159551223-stool2_revised_scaffold3539_1_gene7181"	13834000	18419000	18579000	18792000	18900000	17410000
"536"	"MH0002_GL0030536;MH0244_GL0055557;404239096-stool1_revised_scaffold6095_3_gene72061;T2D-22A_GL0028462;MH0006_GL0083559;O2.UC40-2_GL0140992;V1.UC35-4_GL0096905;MH0319_GL0054410;158742018-stool1_revised_scaffold16816_1_gene8859;MH0193_GL0012167;MH0008_GL0014587;MH0243_GL0111872;MH0204_GL0079069;N103A_GL0103284;MH0308_GL0130818;MH0443_GL0195398;764224817-stool1_revised_scaffold4357_1_gene144374;O2.UC31-0_GL0004748;N038A_GL0116929;763496533-stool2_revised_scaffold4537_1_gene22969;T2D-6A_GL0191110;160765029-stool1_revised_C1111069_1_gene78407;MH0257_GL0103407;T2D-70A_GL0118071;O2.CD1-0_GL0060160;MH0125_GL0016815;MH0377_GL0122587;O2.CD3-0-PT_GL0069611;MH0196_GL0192319;MH0196_GL0072733"	37638000	42633000	35576000	30293000	34804000	36362000
"537"	"MH0002_GL0031062;T2D-133A_GL0089541;DOM005_GL0011931;T2D-109A_GL0105919;O2.UC24-1_GL0134400;MH0381_GL0000069;MH0333_GL0128703;MH0222_GL0052448;MH0063_GL0011874;MH0402_GL0036881;V1.UC41-0_GL0097752;MH0187_GL0019186;O2.UC21-0_GL0003537;V1.FI04_GL0107695;V1.CD6-4_GL0052102;V1.UC50-1_GL0095916"	11292000	14442000	7599900	6887200	6342500	8399300
"538"	"MH0002_GL0031558;MH0008_GL0026334;MH0243_GL0068749;MH0454_GL0262919;MH0153_GL0005615;MH0059_GL0043876;MH0220_GL0091462"	24030000	35454000	23568000	22332000	26326000	24042000
"539"	"MH0002_GL0031559;764062976-stool2_revised_scaffold28158_1_gene150097;O2.UC20-2_GL0147164;MH0247_GL0127988;T2D-22A_GL0081146;DLM001_GL0031509;V1.FI28_GL0139387;MH0203_GL0139505;MH0196_GL0137946;MH0008_GL0026333;MH0243_GL0068748;O2.UC48-1_GL0089770;159551223-stool1_revised_scaffold9101_1_gene129219;MH0196_GL0106100;MH0265_GL0113673;T2D-91A_GL0133263;MH0020_GL0011637;MH0012_GL0182660;MH0267_GL0150550;MH0097_GL0052784;MH0085_GL0039885;MH0192_GL0013796;MH0415_GL0010559;V1.UC26-0_GL0174958;V1.UC26-0_GL0049375;MH0026_GL0008175;MH0101_GL0030116;MH0011_GL0046525;MH0266_GL0020826;MH0243_GL0071065;MH0086_GL0077604"	172540000	227200000	128940000	138220000	160770000	158210000
"540"	"MH0002_GL0033479;159207311-stool1_revised_scaffold29560_2_gene57709;160765029-stool1_revised_C1045336_1_gene24148;BGI-33A_GL0000778;160400887-stool1_revised_scaffold17646_4_gene22483;MH0062_GL0009169;159207311-stool1_revised_C1020470_1_gene9202;MH0377_GL0058756"	88073000	123130000	50893000	53699000	54361000	54771000
"541"	"MH0002_GL0034149;MH0015_GL0018791;MH0184_GL0127314"	0	7667800	0	1535600	1546800	1404400
"542"	"MH0002_GL0035500;O2.UC19-2_GL0108948;V1.UC17-2_GL0063684;T2D-17A_GL0015079;MH0145_GL0117183;REV__V1.FI14_GL0099559"	81972000	51149000	9015300	9486000	8890000	9486900
"543"	"MH0002_GL0036751"	17208000	15755000	10643000	9255700	9625100	11418000
