"Protein.IDs"	"LFQ.intensity.KES1_well1"	"LFQ.intensity.KES2_well5"	"LFQ.intensity.KES3_well9"	"LFQ.intensity.PBS1_well2"	"LFQ.intensity.PBS2_well3"	"LFQ.intensity.PBS3_well4"
"11"	"V1.CD3-0-PN_GL0003847;764588959-stool1_revised_scaffold2583_1_gene46243;763577454-stool1_revised_scaffold33_1_gene95398;MH0121_GL0035384;T2D-132A_GL0000966;MH0203_GL0208672;V1.UC14-1_GL0003593;V1.FI33_GL0006528;V1.CD21-0_GL0043785;V1.CD12-0_GL0025970;T2D-19A_GL0098333;MH0370_GL0035863;MH0370_GL0006188;MH0188_GL0032022;MH0074_GL0033869;V1.UC34-0_GL0072480;V1.CD54-0_GL0002260;T2D-11A_GL0149339;O2.UC15-1_GL0110372;NLF002_GL0001306;MH0358_GL0082078;MH0333_GL0088877;MH0251_GL0127961;MH0221_GL0035992;MH0186_GL0020548;MH0100_GL0030757;MH0044_GL0006802;MH0043_GL0014848;MH0006_GL0118605;764062976-stool2_revised_scaffold37261_1_gene39270;763577454-stool1_revised_scaffold49136_1_gene63479;V1.FI17_GL0218408;V1.CD46-0_GL0082611;V1.CD3-0-PN_GL0039535;V1.CD21-4_GL0036756;O2.UC48-0_GL0164897;O2.CD1-0-PT_GL0050867;MH0193_GL0177843;MH0006_GL0159351;V1.CD7-4_GL0003908;V1.CD46-0_GL0139997;O2.UC7-1_GL0086392;O2.CD2-0-PT_GL0033652;MH0447_GL0193338;MH0247_GL0170984;MH0148_GL0129837;MH0140_GL0132705;MH0088_GL0028017;MH0035_GL0049861;604812005-stool2_revised_scaffold40769_1_gene120269;553973.CLOHYLEM_04185;V1.FI24_GL0060732;MH0239_GL0032957;MH0101_GL0059211;MH0010_GL0015884;159753524-stool1_revised_C1079332_1_gene90921;V1.UC50-1_GL0119225;O2.UC48-0_GL0204610;O2.UC11-2_GL0086540;765074482-stool2_revised_C975736_1_gene119281;763496533-stool2_revised_scaffold31936_2_gene128497;MH0275_GL0022580;O2.UC37-2_GL0005260;MH0462_GL0048761;MH0367_GL0168575;MH0114_GL0073703;V1.FI36_GL0217767;V1.CD32-0_GL0149141;O2.CD3-0-PT_GL0011818;MH0268_GL0075197;V1.CD12-3_GL0111031;MH0189_GL0066209;MH0385_GL0062567;MH0335_GL0052640;MH0239_GL0093127;MH0419_GL0072817;MH0211_GL0091015;MH0087_GL0005444;MH0236_GL0021591;158337416-stool1_revised_C1228716_1_gene7219;MH0418_GL0086387;V1.FI18_GL0072676;MH0419_GL0051204;MH0292_GL0123731;T2D-134A_GL0077863;MH0311_GL0085676;N005A_GL0038863;T2D-53A_GL0132139"	0	0	8422300	6589400	8429500	6875500
"12"	"158337416-stool1_revised_C1229196_1_gene175059;MH0131_GL0172672"	0	0	5809300	657590	0	3516700
"13"	"V1.CD44-4_GL0087285;MH0253_GL0003906;158337416-stool1_revised_C1245804_1_gene55346;MH0196_GL0176162"	0	0	2821300	0	3440000	3255300
"14"	"158337416-stool1_revised_scaffold24004_2_gene147360;V1.FI05_GL0053724;V1.FI34_GL0003701;MH0239_GL0150571"	12670000	5027100	3086800	3516600	3354900	3000900
"15"	"MH0038_GL0008094;158337416-stool1_revised_scaffold26986_1_gene97733;NLF001_GL0014746;V1.UC22-1_GL0217140;V1.CD30-0_GL0013193;638754422-stool1_revised_scaffold25577_1_gene34313;O2.UC58-2_GL0054361"	11782000	36007000	18942000	14816000	16473000	20640000
"16"	"V1.FI37_GL0175096;V1.FI02_GL0187462;O2.UC13-2_GL0020166;V1.FI25_GL0112252;O2.UC47-2_GL0021404;DLM001_GL0078729;158337416-stool2_revised_C969395_1_gene94514;764224817-stool1_revised_scaffold35800_1_gene178948;V1.UC38-0_GL0023127;V1.FI19_GL0023804;V1.CD6-4_GL0070375;V1.UC5-3_GL0028857;V1.FI14_GL0074451;V1.FI22_GL0049669;V1.CD19-0_GL0043967;O2.UC50-2_GL0249259;O2.UC50-0_GL0114457;MH0284_GL0155725;MH0203_GL0224903;V1.UC12-4_GL0052175;V1.CD8-0-PN_GL0124273;MH0131_GL0169042"	8098200	0	2879000	2046700	1922600	1924300
"17"	"158337416-stool2_revised_scaffold1925_5_gene103950"	94539000	98154000	76945000	61766000	70600000	85922000
"18"	"158337416-stool2_revised_scaffold873_1_gene57775"	98439000	139800000	92450000	72047000	85537000	75829000
"19"	"O2.UC2-1_GL0110108;158458797-stool1_revised_C1306664_1_gene122586"	0	2437700	0	0	0	0
"20"	"158458797-stool1_revised_C1346942_1_gene113543;NOF010_GL0092143;MH0187_GL0101440;MH0192_GL0095788;158499257-stool1_revised_scaffold11351_1_gene159457;MH0005_GL0005118"	23404000	0	0	0	0	0
